subject,stimulus,response,reactionTime
_EXPERIMENTMFC_CATEGORY_GOODNESS_CRESULTS,Rye_Right_MC,Right,1.4156864719698206
_EXPERIMENTMFC_CATEGORY_GOODNESS_CRESULTS,present_Wrong_1032,Wrong,1.2061776729533449
_EXPERIMENTMFC_CATEGORY_GOODNESS_CRESULTS,ripe_Wrong_C46,Wrong,1.0055264664115384
_EXPERIMENTMFC_CATEGORY_GOODNESS_CRESULTS,careful_Right_1031,Right,1.2110942909494042
_EXPERIMENTMFC_CATEGORY_GOODNESS_CRESULTS,or_Right_MC,Right,1.1784503366216086
_EXPERIMENTMFC_CATEGORY_GOODNESS_CRESULTS,jerky_Wrong_1045,Wrong,0.9489419813617133
_EXPERIMENTMFC_CATEGORY_GOODNESS_CRESULTS,birthday_Right_1058,Right,0.9426648667431437
_EXPERIMENTMFC_CATEGORY_GOODNESS_CRESULTS,crown_Right_1027,,0
_EXPERIMENTMFC_CATEGORY_GOODNESS_CRESULTS,bird_Wrong_1020,,0
_EXPERIMENTMFC_CATEGORY_GOODNESS_CRESULTS,rain_Wrong_1020,,0
_EXPERIMENTMFC_CATEGORY_GOODNESS_CRESULTS,run_Right_1044,,0
_EXPERIMENTMFC_CATEGORY_GOODNESS_CRESULTS,crab_Right_1044,,0
_EXPERIMENTMFC_CATEGORY_GOODNESS_CRESULTS,steer_Right_098,,0
_EXPERIMENTMFC_CATEGORY_GOODNESS_CRESULTS,sir_Right_Lilianne,,0
_EXPERIMENTMFC_CATEGORY_GOODNESS_CRESULTS,turn_Right_1035,,0
_EXPERIMENTMFC_CATEGORY_GOODNESS_CRESULTS,car_Right_C67,,0
_EXPERIMENTMFC_CATEGORY_GOODNESS_CRESULTS,shower_Wrong_084,,0
_EXPERIMENTMFC_CATEGORY_GOODNESS_CRESULTS,curtain_Right_1029,,0
_EXPERIMENTMFC_CATEGORY_GOODNESS_CRESULTS,shrimp_Right_1042,,0
_EXPERIMENTMFC_CATEGORY_GOODNESS_CRESULTS,hurt_Wrong_1056,,0
_EXPERIMENTMFC_CATEGORY_GOODNESS_CRESULTS,wrench_Wrong_1041,,0
_EXPERIMENTMFC_CATEGORY_GOODNESS_CRESULTS,thread_Wrong_1055,,0
_EXPERIMENTMFC_CATEGORY_GOODNESS_CRESULTS,drum_Wrong_1025,,0
_EXPERIMENTMFC_CATEGORY_GOODNESS_CRESULTS,first_Right_1048,,0
_EXPERIMENTMFC_CATEGORY_GOODNESS_CRESULTS,are_Wrong_C78,,0
_EXPERIMENTMFC_CATEGORY_GOODNESS_CRESULTS,rice_Right_1027,,0
_EXPERIMENTMFC_CATEGORY_GOODNESS_CRESULTS,grief_Right_C67,,0
_EXPERIMENTMFC_CATEGORY_GOODNESS_CRESULTS,pearl_RIght_PT08,,0
_EXPERIMENTMFC_CATEGORY_GOODNESS_CRESULTS,learn_Wrong_1038,,0
_EXPERIMENTMFC_CATEGORY_GOODNESS_CRESULTS,wrist_Right_MC,,0
_EXPERIMENTMFC_CATEGORY_GOODNESS_CRESULTS,rake_Wrong_C40,,0
